X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,swisstopo_waypoint_id
2633850.25515019,1244750.52577043,467.9,,,,Wegpunkt 14,,,,,,,,,,,,,,,,,,,"1"
2633837.10785672,1244852.98101954,479.2,,,,Wegpunkt 13,,,,,,,,,,,,,,,,,,,"2"
2633920.66806314,1244997.48695274,473.7,,,,Wegpunkt 12,,,,,,,,,,,,,,,,,,,"3"
2633764.72757639,1245050.40039228,-1,,,,Wegpunkt 11,,,,,,,,,,,,,,,,,,,"4"
2633586.31408426,1245017.76531656,504.5,,,,Wegpunkt 10,,,,,,,,,,,,,,,,,,,"5"
2633442.8921055,1244995.87742817,516,,,,Wegpunkt 9,,,,,,,,,,,,,,,,,,,"6"
2633310.38814599,1244908.30277563,513.5,,,,Wegpunkt 8,,,,,,,,,,,,,,,,,,,"7"
2633266.43059724,1244825.21802272,508.3,,,,Wegpunkt 7,,,,,,,,,,,,,,,,,,,"8"
2633378.47244473,1244673.16108451,476.1,,,,Wegpunkt 6,,,,,,,,,,,,,,,,,,,"9"
2633487.36915347,1244639.9167794,473.3,,,,Wegpunkt 5,,,,,,,,,,,,,,,,,,,"10"
2633590.63886097,1244599.69660443,465,,,,Wegpunkt 4,,,,,,,,,,,,,,,,,,,"11"
2633720.08191397,1244474.93373384,450.2,,,,Wegpunkt 3,,,,,,,,,,,,,,,,,,,"12"
2633729.77714793,1244370.32443092,442.7,,,,Wegpunkt 2,,,,,,,,,,,,,,,,,,,"13"
2633708.83666585,1244227.17059313,433.3,,,,Wegpunkt 1,,,,,,,,,,,,,,,,,,,"14"
