X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
2633945.55262779,1244607.44600858,"0","0","0",446.8,2026/05/24 16:16:58+00,,,,,,,,,,,,,,,,,,,,,
2633944.73040058,1244605.88474408,"0","0","1",446.5,2026/05/24 16:16:59+00,,,,,,,,,,,,,,,,,,,,,
2633943.83261587,1244604.32304767,"0","0","2",446.3,2026/05/24 16:17:00+00,,,,,,,,,,,,,,,,,,,,,
2633943.01038777,1244602.76178342,"0","0","3",446,2026/05/24 16:17:01+00,,,,,,,,,,,,,,,,,,,,,
2633938.36652682,1244595.6195169,"0","0","4",444.8,2026/05/24 16:17:02+00,,,,,,,,,,,,,,,,,,,,,
2633935.59379097,1244591.60107581,"0","0","5",444.4,2026/05/24 16:17:03+00,,,,,,,,,,,,,,,,,,,,,
2633932.96390444,1244589.02883244,"0","0","6",444.2,2026/05/24 16:17:04+00,,,,,,,,,,,,,,,,,,,,,
2633930.56195841,1244586.23552694,"0","0","7",444,2026/05/24 16:17:05+00,,,,,,,,,,,,,,,,,,,,,
2633928.53461969,1244584.0002787,"0","0","8",443.9,2026/05/24 16:17:06+00,,,,,,,,,,,,,,,,,,,,,
2633926.13330487,1244581.0957956,"0","0","9",443.7,2026/05/24 16:17:07+00,,,,,,,,,,,,,,,,,,,,,
2633925.30662137,1244580.31278991,"0","0","10",443.6,2026/05/24 16:17:08+00,,,,,,,,,,,,,,,,,,,,,
2633924.64312383,1244577.41823873,"0","0","11",443.4,2026/05/24 16:17:09+00,,,,,,,,,,,,,,,,,,,,,
2633924.42661696,1244575.63807254,"0","0","12",443.4,2026/05/24 16:17:11+00,,,,,,,,,,,,,,,,,,,,,
2633924.1345525,1244573.85747461,"0","0","13",443.3,2026/05/24 16:17:12+00,,,,,,,,,,,,,,,,,,,,,
